"NR.CRT","Capitol","Subcapitol","Situația Clinică","Tip","Examen","Indicație","Grad Indicație","Comentarii","Alte informații","Doza Min","Doza Max"
696,"Torace","Pleură","Epanşament pleural","G","Radiografie toracică în două incidențe","Indicat","C","Radiografia poate depista mici cantităţi de lichid pleural.",,1,1
697,"Torace","Pleură","Epanşament pleural","T","CT torace și abdomen","Indicat","C","Este utilă în cazul caracterizarii unor eventuale patologii pleurale ascunse. Poate ghida un drenaj considerat dificil. Permite studierea plămânului subjacent înainte și după evacuarea de lichid.",,3,3
698,"Torace","Pleură","Epanşament pleural","M","IRM torace cu secvență de difuzie și substanță de contrast","Doar cu aviz specializat","C","Indicat doar în cazuri rare de mezoteliom pleural sau cancer pulmonar invaziv atunci când se ia în considerare tratamentul chirurgical. Evaluează mai precis invazia pericardului, vaselor mari, diafragmului și a peretelui toracic.",,0,0
699,"Torace","Pleură","Epanşament pleural","N","PET-CT (F18-FDG)","Doar cu aviz specializat","C","Indicat în cazurile de înaltă suspiciune de mezoteliom sau pentru stadializare. Valoarea sa diagnostică este redusă în cazul antecedentelor talcajului pleural datorită leziunilor inflamatorii ce pot persista luni sau chiar ani.",,4,4
700,"Torace","Pleură","Pneumotorax spontan","G","Radiografie toracică","Indicat","C","Nu se recomandă efectuarea în expir.",,1,1
701,"Torace","Pleură","Pneumotorax spontan","T","CT torace","Doar în cazuri particulare","C","Este indicat în cazul recidivei homo sau contralaterale pentru depistarea bulelor de emfizem, sau în cazul suspiciunii de pneumotorax pe plămân patologic.",,2,2
702,"Torace","Pleură","ALTĂ SITUAȚIE CLINICĂ","Z","Situație clinică neîncadrabilă","Este necesară justificare detaliată",,,,,
703,"Torace","Pulmon","Aplazie medulară","G","Radiografie toracică","Neindicat","C","Poate fi folosită în diagnosticul precoce al complicațiilor pulmonare atunci când CT-ul nu se poate efectua.",,1,1
704,"Torace","Pulmon","Astmul adultului – bilanț inițial","G","Radiografie toracică","Doar în cazuri particulare","C","Radiografia este indicată la vârstnici, în cazul pacienților cu simptome atipice sau pentru diagnosticul diferențial cu afecțiuni înrudite clinic.",,1,1
705,"Torace","Pulmon","Astmul adultului – bilanț inițial","T","CT","Doar cu aviz specializat","C","CT este folosit numai pentru excluderea afecțiunilor respiratorii cu simptomatologie clinică asemănătoare.",,2,2
706,"Torace","Pulmon","Bronhopneumopatia cronică obstructivă – bilanț inițial","G","Radiografie toracică","Indicat","C","Radiografia trebuie efectuată în cazul suspiciunii de BPOC pentru a depista alte cauze ale simptomelor, sau comorbidități.",,1,1
707,"Torace","Pulmon","Bronhopneumopatia cronică obstructivă – bilanț inițial","T","CT","Doar în cazuri particulare","C","CT este indicat în cazul suspiciunii de emfizem sau pentru depistarea comorbidităților.",,2,2
708,"Torace","Pulmon","Bronhoree cronică","G","Radiografie toracică","Indicat","C","Este sistematic efectuată pentru evidențierea unor comorbidități.",,1,1
709,"Torace","Pulmon","Bronhoree cronică","T","CT","Indicat","C","CT-ul este examenul de referință pentru depistarea dilatațiilor bronșice.",,2,2
710,"Torace","Pulmon","Bronsita acută","G","Radiografie toracică","Neindicat","?","Nu este indicată nici în cazul febrei moderate sau, în general, în absența semnelor de gravitate.",,1,1
711,"Torace","Pulmon","Contacţi de tuberculoză","G","Radiografie toracică","Indicat","B","Radiografia toracică este indicată dacă riscul de contaminare este important: contact apropiat şi/sau cavitate pulmonară evidenţiată radiografic la contaminator şi/sau bacil acid-alcool rezistent evidenţiat la examenul microscopic (BAAR) direct la contaminator. Este indicată de asemenea dacă induraţia post intradermoreacţie (IDR) este mai mare de 10 mm la un adult nevaccinat BCG sau vaccinat de mai mult de 10 ani.",,1,1
712,"Torace","Pulmon","Control medical înaintea angajării sau depistarea unei boli pulmonare profesionale","G","Radiografie toracică","Doar în cazuri particulare","B","Radiografia toracică este indicată doar pentru câteva categorii: imigranţi cu risc (provenind din zone de endemie tuberculoasă) fără radiografii recente sau anumite categorii profesionale. Efectuarea ei poate fi impusă de reglementări.",,1,1
713,"Torace","Pulmon","Diagnostic de nodul sau masă pulmonară","I","Biopsie ghidată CT","Doar cu aviz specializat","B","Biopsia pulmonară ghidată CT, efectuată în cazuri bine selecţionate, are o rată mică de complicaţii şi un randament diagnostic înalt pentru leziunile pulmonare maligne inaccesibile la fibroscopie. Ecografia poate fi utilizată pentru ghidarea biopsiei nodulilor subpleurali.","RI - PC6",3,3
714,"Torace","Pulmon","Embolie pulmonară","G","Radiografie toracică","Indicat","C","Radiografia toracică este utilă pentru a permite un diagnostic alternativ de embolie. Poate ajuta la interpretarea unei scintigrafii de perfuzie și poate evalua posibilitatea ca examenul scintigrafic de ventilație-perfuzie să nu fie elocvent.",,1,1
715,"Torace","Pulmon","Embolie pulmonară","N","Scintigrafie de ventilație (81mKr, Technegas,99mTc DTPA) și perfuzie (99mTc MAA) pulmonară","Indicat","B","Scintigrafia pulmonară de ventilație și pefuzie, sau tomoscintigrafia (SPECT), au performanțe diagnostice foarte bune. Contraindicatii: hipersensibilitatea la substanta activa sau la oricare dintre excipienti sau in caz de hipertensiune pulmonara severa. Dozele se vor ajusta la femeile insarcinate sau potential insarcinate si la copii. Rezultatele neconcludente necesită corelare cu angiografia CT. Scintigrafia realizată în fazele inițiale constituie o referință pentru diagnosticul unei eventuale recidive și pentru controlul eficacității tratamentului anticoagulant. ",,2,2
716,"Torace","Pulmon","Embolie pulmonară","T","Angio-CT arteră pulmonară cu substanță de contrast și trigger în vena cavă superioară","Indicat","A","Angio-CT cu substanță de contrast reprezintă examinarea de primă intenție pentru diagnostic în cazul suspiciunii de embolie pulmonară. Nu este indicat în urmărirea pacientului cu TEP.",,3,3
717,"Torace","Pulmon","Embolie pulmonară","E","Ecocardiografie","Doar în cazuri particulare","A","Indicată în cazul șocului cardiogenic pentru eliminarea emboliei pulmonare, identificarea diagnosticelor alternative și pentru inițierea trombolizei.",,0,0
718,"Torace","Pulmon","Embolie pulmonară","E","Ecografie Doppler venos membre inferioare","Doar în cazuri particulare","A","Indicată în cazul contraindicației Angiografiei CT pulmonare și la pacienții cu diagnostic confirmat de embolie pulmonară pentru a fi încadrați în maladia trombo-embolică.",,0,0
719,"Torace","Pulmon","Embolie pulmonară","M","IRM torace","Doar în cazuri particulare","C","Indicat la pacienții ce prezintă contraindicație la examinarea CT.",,0,0
720,"Torace","Pulmon","Embolie pulmonară","A","Angiografie invazivă","Neindicat","?","Angiografia pulmonară nu mai reprezintă tehnica de referință în diagnosticul emboliei pulmonare, locul său fiind preluat de CT-ul toracic cu contrast (angiografia CT).",,2,2
721,"Torace","Pulmon","Hemoptizie","G","Radiografie toracică","Indicat","C","Radiografia toracică este primul examen imagistic ce trebuie efectuat la pacienţii cu hemoptizie. Dacă radiografia este normală și hemoptizia este masivă și apărută în afara unei infecții respiratorii concomitente, este obligatorie continuarea investigațiilor.",,1,1
722,"Torace","Pulmon","Hemoptizie","T","CT","Indicat","B","Angiografia CT pulmonară, poate detecta o afecțiune malignă sau non-malignă, poate fi folositor în localizarea teritoriului afectat în vederea unei eventuale manevre intervenționale.",,3,3
723,"Torace","Pulmon","Hemoptizie","I","Angiografie bronsică +/- embolizare","Doar în cazuri particulare","B","Angiografia bronșică cu sau fără embolizare, poate salva viața pacienților cu hemoptizie masivă.",,3,3
724,"Torace","Pulmon","Hemoptizie","I","Angiografie bronsică +/- embolizare","Doar în cazuri particulare","B","Angiografia bronșică cu embolizare, poate salva, atunci cand este posibila, viața pacienților cu hemoptizie masivă.","RI - PB3",3,3
725,"Torace","Pulmon","HIV-SIDA","G","Radiografie toracică","Indicat","C","Se efectuează la pacienți HIV-pozitivi cu tuse, dispnee sau durere toracică, sau la cei imunodeprimați (limfocite T CD4 ˂ 200/mm3) anterior administrării tratamentului antiviral. Nu este indicată la pacienții asimptomatici pulmonar, decât în cazul antecedentelor respiratorii.",,1,1
726,"Torace","Pulmon","HIV-SIDA","T","CT torace","Indicat","B","CT-ul poate fi efectuat la pacienții cu simptome respiratorii și radiografie toracică normală. Pentru diagnostic pozitiv și diferențial.",,2,2
727,"Torace","Pulmon","HIV-SIDA","N","PET-CT (F18-FDG)","Doar în cazuri particulare","B","PET-CT poate fi utilizat pentru investigarea pacienților HIV-pozitivi cu febră de origine necunoscută, furnizând elemente diagnostice complementare pertinente, mai ales în cazul TBC sau pneumocistozei.",,4,4
728,"Torace","Pulmon","Infecţie a căilor aeriene superioare","G","Radiografie toracică","Neindicat","?","Nu există nici o dovadă documentată a utilităţii radiografiei toracice în managementul și prognosticul infecției de căi aeriene superioare.",,1,1
729,"Torace","Pulmon","Infiltrat focal persistent, de etiologie neprecizata","I","Biopsie ghidată CT","Doar cu aviz specializat","B","Comisie mixta cu pneumolog.","RI - PC6",2,3
730,"Torace","Pulmon","Leziuni nodulare pulmonare multiple","I","Biopsie ghidată CT","Indicat","B","Mai ales la pacientii cu antecedente personale patologice oncologice","RI - PC6",2,3
731,"Torace","Pulmon","Leziuni pulmonare cu necroza centrala","I","Biopsie ghidată CT","Doar cu aviz specializat","B","Se recomanda examen PET CT cu 18F-fluoro0deoxyglucoza pentru a determina zona de biopsiere.","RI - PC6",3,4
732,"Torace","Pulmon","Leziuni vasculare pulmonare","I","Biopsie ghidată CT","Neindicat","A","Nu se recomanda efectuarea unei biopsii transtoracice, in caz de suspiciune de leziune vasculara","RI - PC6",1,1
733,"Torace","Pulmon","Maladii sistemice (conectivite, vasculite, sarcoidoză) – bilanț și supraveghere.","G","Radiografie toracică","Indicat","C","Examen de primă intenție",,1,1
734,"Torace","Pulmon","Maladii sistemice (conectivite, vasculite, sarcoidoză) – bilanț și supraveghere.","T","CT torace","Indicat","C","Depistează pneumopatia infiltrativă difuză, evaluează întinderea, severitatea și reversibilitatea leziunilor precum și potențialele complicații. Pentru diagnostic pozitiv și diferențial.",,2,2
735,"Torace","Pulmon","Maladii sistemice (conectivite, vasculite, sarcoidoză) – bilanț și supraveghere.","N","PET-CT (F18-FDG)","Doar cu aviz specializat","C","Poate fi utilizat pentru a evalua extensia formelor grave sau pluriviscerale ale sarcoidozei. Pune în evidență intensitatea și evoluția activității inflamatorii a maladiei.",,4,4
736,"Torace","Pulmon","Malformaţie arterio-venoasă pulmonară","I","Angiografie pulmonară cu embolizare","Doar cu aviz specializat","B","Tratamentul prin embolizare este propus sistematic ca primă intenţie.","RI - PB2",3,4
737,"Torace","Pulmon","Neoplasm bronhopulmonar – bilanț preterapeutic","M","IRM cerebral cu substanță de contrast","Indicat","C","Riscul crescut de metastaze cerebrale impune efectuarea unui examen imagistic cerebral CT sau IRM cu contrast.",,0,0
738,"Torace","Pulmon","Neoplasm bronhopulmonar – bilanț preterapeutic","N","PET-CT (F18-FDG)","Indicat","A"," Performanțele PET-CT sunt ridicate în aprecierea extensiei ganglionare locoregionale și a metastazelor la distanță a tuturor leziunilor primitive pulmonare hipermetabolice, carcinoamelor microcelulare și non-microcelulare. Performanțele PET-CT sunt mai reduse în absența activității metabolice crescute a leziunii primitive și pentru depistarea localizărilor secundare cerebrale.",,4,4
739,"Torace","Pulmon","Neoplasm bronhopulmonar – bilanț preterapeutic","T","CT cerebral, abdomen si pelvis","Indicat","C","Pentru depistarea unor eventuale leziuni secundare sau comorbidități care pot influența tratamentul și prognosticul. Evaluarea sistematică în fereastră osoasă este recomandată pentru depistarea metastazelor scheletice.",,3,3
740,"Torace","Pulmon","Neoplasm bronhopulmonar – bilanț preterapeutic","M","IRM torace","Doar în cazuri particulare","B","IRM prezintă interes în evaluarea gradului de invazie a tumorilor apicale responsabile de sindromul Pancoast-Tobias. Permite aprecierea invaziei plexului brahial, vertebrelor (corpuri, găuri de conjugare, spațiu extradural și eventuala compresiune medulară) și a arterei subclaviculare. Deasemenea ajută la evidențierea unei eventuale invazii pericardice și / sau vasculare.",,0,0
741,"Torace","Pulmon","Neoplasm bronhopulmonar – diagnostic – suspiciune clinică","G","Radiografie toracică","Indicat","C","Radiografia toracică este un examen facil ce permite orientarea rapidă. Aspectul normal radiografic nu elimină complet suspiciunea diagnostică. Orice imagine suspectă trebuie investigată CT în cel mai scurt timp.",,1,1
742,"Torace","Pulmon","Neoplasm bronhopulmonar – diagnostic – suspiciune clinică","T","CT cerebral, torace și abdomen cu substanță de contrast","Indicat","C","Apreciază topografia leziunii și determină modul de abordare pentru analiza histo-citologică. Trebuie efectuată înaintea bronhoscopiei, căreia îi ameliorează performanțele diagnostice. Aspectul normal nu elimină formal diagnosticul.",,3,3
743,"Torace","Pulmon","Neoplasm bronhopulmonar – diagnostic – suspiciune clinică","I","Puncție biopsie CT-ghidată","Doar în cazuri particulare","B","Indicată în cazul unei bronhoscopii negative sau realizată per primam în leziunile perferice. Absența celulelor tumorale la biopsie și diagnosticul alternativ nu permite eliminarea completă a diagnosticului de cancer.",,2,2
744,"Torace","Pulmon","Neoplasm bronhopulmonar – diagnostic – suspiciune clinică","N","PET-CT (F18-FDG)","Doar în cazuri particulare","B","Performanțele diagnostice ale PET-CT F18-FDG sunt excelente, mai ales pentru nodulii mai mari de 1 cm. O leziune fără activitate metabolică crescută trebuie supravegheată radiologic. O leziune hipermetabolică trebuie biopsiată, cu excepția aspectului PET caracteristic unei etiologii infecțioase/inflamatorii. De asemenea PET-CT F18-FDG este indicat pentru stabilirea prognosticului bazat pe activitatea metabolică a cancerelor pulmonare fără celule mici.",,4,4
745,"Torace","Pulmon","Neoplasm bronhopulmonar – stadializare","N","Scintigrafie osoasă
(99mTc- HDP, 99mTc-HMDP, 99mTc-MDP) WB si 
SPECT-CT
","Indicat","B","Permite evaluarea întregului schelet osos, cu detecţia metastazelor osoase şi modificarea stadializării şi conduitei terapeutice.",,2,2
746,"Torace","Pulmon","Neoplasm bronhopulmonar – supraveghere","G","Radiografie toracică","Indicat","C","Este utilizată de rutină fără un beneficiu real științific dovedit.",,1,1
747,"Torace","Pulmon","Neoplasm bronhopulmonar – supraveghere","T","CT cerebral, torace și abdomen","Indicat","C","Indicat în cazul simptomatologiei clinice ce ridică suspiciunea unei recidive sau a metastazelor, sau în mod sistematic cu o periodicitate de 3, 6 și 12 luni după tratamentul chirurgical și apoi anual timp de 5 ani.",,3,3
748,"Torace","Pulmon","Neoplasm bronhopulmonar – supraveghere","N","PET-CT (F18-FDG)","Doar în cazuri particulare","B","Indicat în completarea urmăririi prin CT, în cazul prezenței unei anomalii nedeterminate sau în cazul unor elemente clinice sau biologice ce ridică suspiciunea unei recidive. Indicat în evaluarea eficacității terapeutice (chimioterapie, terapii țintite). Permite evaluarea prognosticului pacientului în funcție de amplitudinea răspunsului la tratament. Măsoară volumul tumoral țintă înainte și după radioterapie apreciind eficacitatea acesteia.",,4,4
749,"Torace","Pulmon","Nodul pulmonar","N","PET-CT (F18-FDG)","Doar în cazuri particulare","B","Indicat în cazul nodulului solid ˃ 8 mm și în cazul bilanțului preoperator pentru evaluarea extensiei.",,4,4
750,"Torace","Pulmon","Nodul pulmonar solitar","T","CT torace","Indicat","B","CT-ul cu secțiuni fine, fără substanță de contrast, este tehnica de referință în detecția nodulilor pulmonari, propusă ca și metodă de screening de unele studii la persoanele cu risc. Caracterizarea nodulului este bazată pe criterii morfologice și pe evoluția dimensională în timp.",,2,2
751,"Torace","Pulmon","Nodul pulmonar solitar","I","Puncție-biopsie CT-ghidată","Doar în cazuri particulare","B","Numai examenul anatomopatologic permite confirmarea caracterului malign. Alegerea diverselor tehnici de prelevare se face de la caz la caz. Analiza histologică (biopsia) este preferată unui examen citologic dacă este realizabilă. Ea ameliorează rentabilitatea tehnicilor de imunotipare și biologie moleculară, fiind utilă mai ales în cazul nodulilor periferici.",,2,2
752,"Torace","Pulmon","Nodul pulmonar solitar urmărire","T","CT torace low dose","Indicat","A","CT-ul toracic de tip low-dose, fără contrast, cu secțiuni fine, reprezintă examinarea de referință în supravegherea nodulilor pulmonari, periodicitatea sa fiind dependentă de gradul de risc al pacienților și distincția între nodulii solizi și cei micști sau non-solizi (risc mare de malignitate):
Noduli solizi: 
≤ 4 mm - repetarea CT la persoanele cu risc se face la 12 luni si apoi se sistează dacă nodulul nu crește; repetarea CT la persoane fara risc nu este necesară;
4 - 6 mm – risc crescut – 6-12 luni și 18-24 luni;
- risc scăzut – urmărire la 12 luni și apoi se sistează în absența creșterii;
6 – 8 mm – risc crescut – 3-6 luni, 9-12 luni și 24 luni;
- risc scăzut – 6-12 luni, 18-24 luni;
˃ 8 mm – indiferent de risc se repetă CT la 3, 9, 24 luni;
- în condiții de creștere se indică PET-CT și/sau biopsie.
Noduli semisolizi 
- urmărire la 3 luni - dacă nu cresc și componenta solidă este < de 5 mm se recomandă repetarea CT anual timp de cel puțin 3 ani;
- dacă persistă iar componenta solidă este > de 5 mm se recomandă biopsia/rezecția.
Noduli solitari în geam mat - < 5 mm nu se urmăresc;
- > 5 mm - urmărire la 3, 12, 24, 36 luni.
Noduli semisolizi multipli 
- în geam mat < 5 mm - CT la 2 și 4 ani;
- în geam mat > 5 mm - CT la 3, 12, 24, 36 luni;
- micști - CT la 3 luni, iar dacă persistă - biopsie/rezectie.",,2,3
753,"Torace","Pulmon","Pacienţi în unităţi de terapie intensivă, unităţi de hemodializă","E","Ecografie","Indicat","B","Ecografia poate fi utilă, la patul bolnavului, pentru evidenţierea unui epanşament pleural lichidian precum și leziunile de parenchim pulmonar ",,0,0
754,"Torace","Pulmon","Pacienţi în unităţi de terapie intensivă, unităţi de hemodializă","G","Radiografie toracică","Indicat","B","Interesul efectuării zilnice a radiografiei pulmonare este uneori pus sub semnul întrebării, dar unele studii arată că este utilă această practică la pacienţii ventilaţi cu patologie acută. Radiografia este foarte utilă în caz de suspiciune de pneumotorax, modificare a simptomatologiei şi după inserarea sau îndepărtarea unor dispozitive.",,1,1
755,"Torace","Pulmon","Pacienţi în unităţi de terapie intensivă, unităţi de hemodializă","T","CT","Doar cu aviz specializat","C","Uneori poate modifica algoritmul de tratament.",,3,3
756,"Torace","Pulmon","Pneumoconioze","T","CT torace low dose","Indicat","A","CT-ul low dose fără contrast oferă suficiente date pentru explorarea de rutină în cele mai multe situații la pacienții cu expunere importantă, pentru identificare, caracterizare și stadializare. Utilizarea contrastului intravenos poate fi utilă în cazul suspiciunii clinice de embolism pulmonar sau în caracterizarea adenopatiilor/maselor.",,2,2
757,"Torace","Pulmon","Pneumoconioze","G","Radiografie toracică","Doar în cazuri particulare","A","Deși este o metodă simplă, puțin iradiantă și larg disponibilă, fiind folosită încă drept metodă de screening pe scară largă, radiografia pulmonară este insensibilă în detecția tuturor modificărilor din pneumoconioze, după cum și o radiografie pulmonară anormală nu este întotdeauna specifică pentru diagnosticul unei pneumoconioze.",,1,1
758,"Torace","Pulmon","Pneumoconioze","N","PET-CT (F18-FDG)","Doar cu aviz specializat","B","Indicat în cazurile unei neoplazii grefate, în sensul diagnosticului și aprecierii determinărilor secundare. Poate fi util în identificarea unui potențial teritoriu de biopsie.",,4,4
759,"Torace","Pulmon","Pneumoconioze","M","IRM","Neindicat","?","IRM nu aduce date suplimentare în diagnosticul și monitorizarea pneumoconiozelor.",,0,0
760,"Torace","Pulmon","Pneumonia adultului: diagnostic","G","Radiografie toracică","Indicat","C","Radiografia pulmonară are valoare limitată în stabilirea agentului patogen, dar este utilă în aprecierea extensiei procesului pneumonic și pentru detecția complicațiilor.",,1,1
761,"Torace","Pulmon","Pneumonia adultului: supraveghere","G","Radiografie toracică","Doar în cazuri particulare","B","La un pacient devenit asimptomatic, nu este utilă efectuarea unui control radiografic ulterior. Majoritatea pacienţilor cu pneumonie comunitară au remisia modificărilor radiografice numai la 4 săptămâni. Această întârziere poate fi mai mare la pacienţii în vârstă, la fumători, la subiecţii cu afecţiuni cronice ale căilor aeriene. Efectuarea unei radiografii la aprox 6-12 săptămâni este indicată la pacienţii care au simptome sau semne fizice persistente şi la pacienţii cu risc de malignitate (fumători şi pacienţi de peste 50 ani).",,1,1
762,"Torace","Pulmon","Pneumonia adultului: supraveghere","T","CT torace","Doar în cazuri particulare","C","Este indicat în cazul pneumoniilor persistente mai mult de 6-12 săptămâni.",,3,3
763,"Torace","Pulmon","Pneumopatie infiltrativă difuză","G","Radiografie toracică","Indicat","C","Reprezintă examenul de primă intenție. Aproximativ 10% din pneumopatiile difuze infiltrative au un aspect radiologic normal.",,1,1
764,"Torace","Pulmon","Pneumopatie infiltrativă difuză","T","CT torace low dose","Indicat","B","CT este util în confirmarea diagnosticului de pneumopatie infiltrativă difuză, în unele situații putând oferi chiar o caracterizare lezională histo-specifică. Oferă informații valoroase despre reversibilitatea și prognosticul bolii. Diagnosticul precis impune o abordare multidisciplinară.",,3,3
765,"Torace","Pulmon","Preoperator","G","Radiografie toracică","Doar în cazuri particulare","A","Screening-ul radiologic este indicat la pacienții ce urmează a fi supuși unei intervenții cardio-toracice. Pentru intervențiile non-cardio-toracice radiografia nu este indicată la pacienții sub 60 ani, dar este utilă la pacienții peste 60 ani cu afecțiuni cardio-respiratorii semnificative.",,1,1
766,"Torace","Pulmon","Supravegherea astmului","G","Radiografie toracică","Doar în cazuri particulare","B","Radiografia este indicată în cazul exacerbării astmului sau în cazul suspiciunii de apariție a complicațiilor.",,1,1
767,"Torace","Pulmon","Supravegherea astmului","T","CT torace low dose","Doar cu aviz specializat","C","CT este folosit numai pentru excluderea afecțiunilor respiratorii înrudite mai ales în absenţa răspunsului la un tratament adecvat.",,2,2
768,"Torace","Pulmon","Supravegherea bronhopneumopatiei cronice obstructive (BPOC)","G","Radiografie toracică","Doar în cazuri particulare","B","Radiografia este indicată doar dacă există exacerbări ale simptomelor sau pentru depistarea unor afecțiuni concomitente.",,1,1
769,"Torace","Pulmon","Supravegherea bronhopneumopatiei cronice obstructive (BPOC)","T","CT torace low dose","Doar în cazuri particulare","C","CT poate fi indicat după radiografia toracică dacă există exacerbări ale simptomelor sau pentru depistarea unor afecțiuni concomitente.",,2,2
770,"Torace","Pulmon","Terapie corticoidă sau imunosupresoare agresivă cu suspiciune de pneumopatie","G","Radiografie toracică","Indicat","C","Se efectuează la pacienți cu simptomatologie respiratorie ca examen de primă intenție.",,1,1
771,"Torace","Pulmon","Terapie corticoidă sau imunosupresoare agresivă cu suspiciune de pneumopatie","T","CT torace","Indicat","C","CT poate fi utilizat la pacienții cu simptomatologie respiratorie și radiografie normală sau pt caracterizare suplimantară în cazul radiografiilor cu modificări.",,3,3
772,"Torace","Pulmon","Transplant de maduvă osoasă","T","CT torace","Indicat","C","Interes major în diagnosticul precoce al complicațiilor pulmonare tardive frecvente în evoluția acestor pacienți. De asemenea este posibilă și alternanța între radiografie și CT.",,3,3
773,"Torace","Pulmon","Transplant de maduvă osoasă","G","Radiografie toracică","Doar în cazuri particulare","C","Poate fi folosită în diagnosticul precoce al complicațiilor pulmonare atunci când CT-ul nu se poate efectua.",,1,1
774,"Torace","Pulmon","Transplantul de organe","G","Radiografie toracică","Indicat","C","Radiografia se realizează preoperator atât în cazul donatorului cât și al primitorului pentru evaluarea riscurilor neoplazice și infecțioase. Postoperator, este primul examen efectuat în cazul simptomelor respiratorii.",,1,1
775,"Torace","Pulmon","Transplantul de organe","T","CT","Doar în cazuri particulare","B","Poate evidenția anomalii/variante nevizualizabile pe radiografia toracică. Are un rol major în diagnosticul precoce al complicațiilor pulmonare tardive non-infecțioase ce apar frecvent în evoluția pacienților transplantați.",,3,3
776,"Torace","Pulmon","Tuse cronică neexplicată","G","Radiografie toracică","Indicat","C","Este întotdeauna examenul de primă intenție.",,1,1
777,"Torace","Pulmon","Tuse cronică neexplicată","T","CT","Doar în cazuri particulare","C","CT-ul nu este indicat decât după eliminarea celor mai frecvente 4 cauze (85% din cazuri): rinoree posterioară, astm, reflux gastro-esofagian, tratament cu efect iatrogen bronşic - inhibitori de enzimă de conversie a angiotensinei (IEC) și, în mod particular, la fumători.",,3,3
778,"Torace","Pulmon","ALTĂ SITUAȚIE CLINICĂ","Z","Situație clinică neîncadrabilă","Este necesară justificare detaliată",,,,,
779,"Torace","Torace","Durere toracică izolată fără cauze aparente","G","Radiografie toracică","Doar în cazuri particulare","C","Cele mai multe cauze musculo-scheletale de durere toracică nespecifică nu au reprezentare pe radiografie. Radiografia toracică are rolul de eliminare a unei patologii pleuro-pulmonare.",,1,1
780,"Torace","Torace","ALTĂ SITUAȚIE CLINICĂ","Z","Situație clinică neîncadrabilă","Este necesară justificare detaliată",,,,,
781,"Aparat digestiv","Abdomen","Abces pelvin","I","Drenaj ghidat","Indicat","B","Pot fi utilizate mai multe căi de abord: percutan, transperineal, transrectal, transvaginal, fesier, în funcţie de localizarea anatomică, determinată de un CT prealabil. Ghidajul, ecografic sau tomografic, trebuie adaptat.","RI - PC4",3,3
782,"Aparat digestiv","Abdomen","Abces subfrenic","I","Drenaj percutanat","Indicat","C","Este metoda de elecţie, prin ghidaj ecografic sau uneori CT.","RI - PC4",0,2
783,"Aparat digestiv","Abdomen","ALTĂ SITUAȚIE CLINICĂ","Z","Situație clinică neîncadrabilă","Este necesară justificare detaliată",,,,,
784,"Aparat digestiv","Ficat, colecist şi pancreas","Ascită prin hipertensiune portală","I","TIPS","Doar în cazuri particulare","B","Eficacitatea este slabă, mai ales la pacienţii în stadiu Child C sau cu insuficienţă renală asociată, datorită riscului ridicat de complicaţii.","RI - PC2",3,4
785,"Aparat digestiv","Ficat, colecist şi pancreas","Caracterizarea unei leziuni hepatice descoperita accidental in examenul ecografic standard","E","Ecografie cu contrast inj.iv","Doar în cazuri particulare","B","Ecografia cu contrast inj.i.v. reprezinta o alternativa de diagnostic imagistic neinvaziv, neiradiant, in caracterizarea leziunilor focale hepatice decoperite accidental in examinarea ecografica de rutina. La pacientii cu ficat indemn, amelioreaza performantele diagnostice permitand diagnosticul diferential intre leziunile tumorale hepatice benigne si cele maligne.","Ecografia cu contrast este superioara evaluarii eco Doppler color și power Doppler în detectarea vascularizatiei intratumorale. Evaluarea se face in timp arterial, portal si tardiv. Pentru leziunile LR 3 este necesar abord multidisciplinar (MD) si in functie de aspect reevaluare eco cu contrast (C) sau RM +C sau CT +C la 3 luni pana la 6 luni sau biopsie. LR 4 si 5 necesita managment MD. LR-M necesita consens MD ptr management, biopsie si/sau evaluarea leziunii prin alta metoda imagistica (RM/CT). LR-TIV (tromboza tumorala intravenoasa) necesita abord MD, biopsie sau corelatia cu biomarkeri",0,0
786,"Aparat digestiv","Ficat, colecist şi pancreas","Caracterizarea unei leziuni hepatice descoperita accidental in examenul ecografic standard","I","Biopsie ghidata imagistic (ecografie, CT) a leziunii hepatice","Doar în cazuri particulare","A","Indicata in situatiile in care aspectul imagistic (CT si IRM cu contrast) este neconcludent pentru incadrarea lezionala, este caracteristic pentru carcinom hepatocelular la pacientii non-cirotici sau pentru metastaze hepatice cu punct de plecare necunoscut/incert","Ghidul CHC Journal of Hepatology 2018; 69: 182-236; criteriile neinvazive de diagnostic, bazate pe examen CT multifazic sau IRM cu contrast dinamic, pot fi aplicate doar pacientilor cirotici cu noduli > 1cm, cu caractere tipice imagistice;",0,2
787,"Aparat digestiv","Ficat, colecist şi pancreas","Caracterizarea unei leziuni hepatice descoperita accidental in examenul ecografic standard","I","Biopsie ghidata imagistic (ecografie, CT) a leziunii hepatice","Doar în cazuri particulare","A","Indicata in situatiile in care aspectul imagistic (CT si IRM cu contrast) este neconcludent pentru incadrarea lezionala, este caracteristic pentru carcinom hepatocelular la pacientii non-cirotici sau pentru metastaze hepatice cu punct de plecare necunoscut/incert","RI - PC-D",0,2
